projectName,unitName,epShort,samplingStartDate,plot,transectNo,speciesCode,scientificName,logDiameter,decayClassID
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,9.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,5.7,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,10.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,5.7,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,3.2,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,4.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,2,PIPO,Pinus ponderosa,3.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,3,UNKN,Unknown species,6.6,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,2,UNKN,Unknown species,10.1,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,2,UNKN,Unknown species,9.6,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,1,PIPO,Pinus ponderosa,7,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,2,UNKN,Unknown species,3.7,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,3,PIPO,Pinus ponderosa,17.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,3,PIPO,Pinus ponderosa,6.1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,3,PIPO,Pinus ponderosa,8.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,3,UNKN,Unknown species,7.8,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,3,PIPO,Pinus ponderosa,3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,1,UNKN,Unknown species,6.8,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,3,SALIX,Salix spp.,3.4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,1,PIPO,Pinus ponderosa,3.2,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,1,PIPO,Pinus ponderosa,9.1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,1,PIPO,Pinus ponderosa,10.7,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,2,PIPO,Pinus ponderosa,11.9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,2,PIPO,Pinus ponderosa,13.4,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,1,PIPO,Pinus ponderosa,4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,1,PIPO,Pinus ponderosa,4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,1,UNKN,Unknown species,3.2,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,2,PIPO,Pinus ponderosa,11.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,2,PIPO,Pinus ponderosa,3.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,2,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,2,UNKN,Unknown species,2,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,2,UNKN,Unknown species,3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,3,PIPO,Pinus ponderosa,7.3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,3,PIPO,Pinus ponderosa,4.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,3,PSME,Pseudotsuga menziesii,3.9,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,3,UNKN,Unknown species,8.1,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,3,UNKN,Unknown species,5.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,1,PIPO,Pinus ponderosa,3.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,1,PIPO,Pinus ponderosa,4.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,1,PSME,Pseudotsuga menziesii,14.6,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,2,PSME,Pseudotsuga menziesii,11.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,2,UNKN,Unknown species,16.5,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,2,UNKN,Unknown species,12.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,3,PIPO,Pinus ponderosa,6.4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,3,PSME,Pseudotsuga menziesii,10,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,2,3,UNKN,Unknown species,5.4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,3,2,PIPO,Pinus ponderosa,10.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,3,3,PIPO,Pinus ponderosa,3.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,3,3,PIPO,Pinus ponderosa,5.1,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,4,1,PIPO,Pinus ponderosa,11.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,4,3,PIPO,Pinus ponderosa,11.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,4,3,PIPO,Pinus ponderosa,5.3,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,1,PSME,Pseudotsuga menziesii,12.9,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,2,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,2,PSME,Pseudotsuga menziesii,3.9,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,2,PSME,Pseudotsuga menziesii,7.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,2,UNKN,Unknown species,43.6,5
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,2,UNKN,Unknown species,3.7,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,3,PSME,Pseudotsuga menziesii,5.4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,5,3,UNKN,Unknown species,6.2,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,7,1,PSME,Pseudotsuga menziesii,13.7,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,7,1,UNKN,Unknown species,6.5,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,7,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,7,3,PSME,Pseudotsuga menziesii,4.7,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,8,1,PIPO,Pinus ponderosa,5.6,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,8,1,PSME,Pseudotsuga menziesii,3.3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,8,1,UNKN,Unknown species,4.5,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,8,2,UNKN,Unknown species,2.8,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,1,PIPO,Pinus ponderosa,8.9,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,1,PSME,Pseudotsuga menziesii,8.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,3.3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,4.4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,3.3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,3.1,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,4.1,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,3.1,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,3.7,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PIPO,Pinus ponderosa,3.4,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,2,PSME,Pseudotsuga menziesii,11,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,5.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,4.1,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,3.6,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,3.3,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,3.4,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,4.9,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,14.1,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,9,3,PIPO,Pinus ponderosa,24.9,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,1,PIPO,Pinus ponderosa,12.3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,2,PIPO,Pinus ponderosa,11.3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,2,PSME,Pseudotsuga menziesii,5.3,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,2,UNKN,Unknown species,7.5,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,2,UNKN,Unknown species,3.3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,2,UNKN,Unknown species,3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,2,UNKN,Unknown species,4.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,3,PIPO,Pinus ponderosa,6.9,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,10,3,UNKN,Unknown species,3.8,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,11,1,UNKN,Unknown species,4.6,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,12,2,PIPO,Pinus ponderosa,6.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,13,2,UNKN,Unknown species,9.3,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,13,2,UNKN,Unknown species,3.6,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,9.5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,3.1,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,4.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,7.9,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,10.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,1.2,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,1,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,2,PIPO,Pinus ponderosa,3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,14,3,UNKN,Unknown species,6.4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,15,2,UNKN,Unknown species,9.6,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,15,2,UNKN,Unknown species,10.1,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,16,1,PIPO,Pinus ponderosa,7,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,16,1,UNKN,Unknown species,2.8,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,16,3,PIPO,Pinus ponderosa,5.9,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,16,3,PIPO,Pinus ponderosa,8.2,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,16,3,PIPO,Pinus ponderosa,17.4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,16,3,UNKN,Unknown species,7.8,4
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,17,3,PIPO,Pinus ponderosa,3,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,19,1,SALIX,Salix spp.,3.4,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,19,1,UNKN,Unknown species,6.8,3
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,20,1,PIPO,Pinus ponderosa,8.5,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,20,1,PIPO,Pinus ponderosa,3.1,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,20,1,PIPO,Pinus ponderosa,7.5,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,20,2,PIPO,Pinus ponderosa,13,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,20,2,PIPO,Pinus ponderosa,11,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1,PIPO,Pinus ponderosa,3.8,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1,PIPO,Pinus ponderosa,5.7,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1,PIPO,Pinus ponderosa,8.3,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1,UNKN,Unknown species,4.4,5
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,2,PSME,Pseudotsuga menziesii,3.3,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,2,PSME,Pseudotsuga menziesii,3.9,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,3,PIPO,Pinus ponderosa,6.6,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,3,PIPO,Pinus ponderosa,7.2,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,3,PSME,Pseudotsuga menziesii,5.5,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,2,1,PSME,Pseudotsuga menziesii,5.5,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,2,1,PSME,Pseudotsuga menziesii,7.6,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,2,2,PIPO,Pinus ponderosa,18.5,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,2,2,PIPO,Pinus ponderosa,8.4,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,2,2,UNKN,Unknown species,9.5,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,2,PIPO,Pinus ponderosa,4.7,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,2,PIPO,Pinus ponderosa,9.3,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,2,PIPO,Pinus ponderosa,8.3,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,4,1,PSME,Pseudotsuga menziesii,8,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,4,2,PIPO,Pinus ponderosa,10,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,4,2,PIPO,Pinus ponderosa,8.5,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,4,2,PSME,Pseudotsuga menziesii,4.2,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,4,2,UNKN,Unknown species,10.6,5
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,4,3,PIPO,Pinus ponderosa,11.1,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,5,1,PIPO,Pinus ponderosa,23.3,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,5,1,PSME,Pseudotsuga menziesii,14.1,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,5,1,UNKN,Unknown species,13.9,5
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,5,2,PIPO,Pinus ponderosa,6,3
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,5,3,UNKN,Unknown species,3.9,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,1,PIPO,Pinus ponderosa,5,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,2,UNKN,Unknown species,6,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,2,UNKN,Unknown species,7.1,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,2,UNKN,Unknown species,3,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,3,PIPO,Pinus ponderosa,8.7,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,3,PSME,Pseudotsuga menziesii,5.9,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,8,3,UNKN,Unknown species,9,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,9,1,PIPO,Pinus ponderosa,4.3,4
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,9,1,PSME,Pseudotsuga menziesii,4,2
